Topic ID,Word,Probability
24,mehmed,0.021795874
24,tevcih,0.0165733
24,zade,0.01620369
24,sabık,0.015876446
24,emane,0.014071313
24,defter,0.013507172
24,ahmed,0.0124664875
24,mustafa,0.011756633
24,ibka,0.01169489
24,tevcihat,0.011627865
24,ali,0.01145285
24,kitabe,0.010564499
24,emin,0.009879705
24,ibrahim,0.009571206
24,süleyman,0.009104262
24,kethüda,0.008918164
24,küçük,0.008185829
24,tersane,0.007766235
24,mansıp,0.0070456616
25,kis,0.043467704
25,mevacib,0.03572646
25,ihrac,0.026275905
25,mevacip,0.026182573
25,divani,0.024719274
25,teşrifat,0.023316925
25,sene,0.021885872
25,divan,0.018152185
25,tevz,0.017839653
25,ağa,0.017791564
25,ali,0.015379085
25,devr,0.015069166
25,sadr,0.0134435985
25,kıst,0.013441013
25,ocak,0.011871537
25,hatt,0.011838491
25,hazret,0.010528815
25,silahdar,0.010369941
25,şehriyari,0.010163665
25,tertib,0.009596823
26,fransa,0.016310817
26,ingilter,0.012789853
26,nemçe,0.011831855
26,mansur,0.01090611
26,arazi,0.010556953
26,madde,0.008769855
26,ittifak,0.008648261
26,elçi,0.008305332
26,devlet,0.0078028226
26,bosn,0.0076652323
26,fransalu,0.0067112655
26,name,0.0061533386
26,hazret,0.006127608
26,ingilterelü,0.006118832
26,ifade,0.0057550794
26,kulle,0.0051380247
26,zuhur,0.004876848
26,sadrazam,0.0046585146
26,canip,0.004609442
26,düvel,0.0045758924
27,top,0.079668395
27,barut,0.03579689
27,asker,0.03381887
27,düşmen,0.023263242
27,tob,0.022060407
27,aded,0.020536492
27,mahal,0.020074276
27,iç,0.019158186
27,kala,0.01845407
27,cisr,0.014219045
27,ceng,0.0142057035
27,mikdar,0.012481674
27,gerü,0.011435075
27,ecza,0.011113517
27,ara,0.010541144
27,fitil,0.0102278665
27,hane,0.010051392
27,iktiza,0.009736981
27,mora,0.009360478
27,heva,0.009065102
28,zade,0.046184443
28,mehmed,0.03445132
28,kaza,0.02841588
28,tevcih,0.024331998
28,paye,0.023491096
28,sene,0.021666564
28,kadı,0.01983101
28,gurre,0.018146576
28,seyyid,0.0175643
28,şerif,0.01441766
28,anadolu,0.014353871
28,edirne,0.012543718
28,zabt,0.0124239605
28,mekke,0.010678909
28,istanbul,0.010451613
28,sabıkan,0.00982069
28,ahmed,0.00947049
28,mükerre,0.008986481
28,azl,0.008858539
28,mustafa,0.008727217
29,harik,0.042132217
29,ateş,0.037941128
29,saat,0.03341489
29,hane,0.033394303
29,zuhur,0.029851602
29,etraf,0.016892815
29,vaki,0.016540773
29,mahal,0.01593878
29,itfa,0.015797447
29,cami,0.013663422
29,gece,0.012357499
29,vuk,0.012196955
29,hazret,0.010801322
29,civar,0.010776515
29,vukü,0.009233601
29,havali,0.008660801
29,kapu,0.00833344
29,şerare,0.0075799143
29,çiftlik,0.0070444755
29,nar,0.0068456857
30,ali,0.013192149
30,ağa,0.007718875
30,mehmed,0.007510766
30,bey,0.0071134004
30,kapu,0.0062529575
30,dersaadet,0.005873885
30,sene,0.0056208516
30,halde,0.0046092425
30,ha,0.004416681
30,asker,0.004302018
30,irsal,0.0040578046
30,mahal,0.00393992
30,eyle,0.0039174343
30,vali,0.0038616774
30,suret,0.0038498659
30,nasb,0.0038005756
30,asakir,0.003620247
30,geldik,0.0035802417
30,hareket,0.00344303
30,kabail,0.0034026687
31,seray,0.015338422
31,sadrazam,0.012607749
31,ağa,0.011991065
31,şahane,0.011461758
31,kapu,0.011455273
31,şehriyar,0.011091059
31,semmur,0.009763566
31,hatt,0.009282066
31,şeref,0.008272504
31,alay,0.008204418
31,esb,0.007901168
31,şerif,0.007849236
31,padişah,0.0074381
31,mutad,0.0069920328
31,müzeyyen,0.0067752595
31,mezkur,0.006717138
31,şehr,0.006537793
31,sevb,0.006330977
31,devlet,0.006263031
31,erkan,0.006253167
32,sultan,0.042464443
32,hazret,0.016322289
32,han,0.011748558
32,alem,0.0108027235
32,vel,0.010044337
32,şehzade,0.00978741
32,şerif,0.009517132
32,saltanat,0.009071554
32,cami,0.0086726155
32,şeh,0.0063420953
32,tarih,0.0063168295
32,viladet,0.0061479053
32,vücud,0.0056417184
32,baht,0.005077207
32,bahş,0.0049967896
32,al,0.0048609143
32,allah,0.004801109
32,şahane,0.00480065
32,ömr,0.0046758777
32,devlet,0.0046484615
33,nefy,0.0676673
33,azl,0.0280744
33,icla,0.019413464
33,mum,0.015578998
33,ıtlak,0.014222984
33,sabık,0.011716506
33,afv,0.010519354
33,nasb,0.010015779
33,cezire,0.009528465
33,tağrib,0.0084351385
33,müddet,0.0080473265
33,esbak,0.0066912677
33,defterdar,0.0065418426
33,umur,0.006508913
33,ali,0.006433536
33,gelibo,0.006397316
33,tedib,0.0062898905
33,zade,0.006222223
33,reisül,0.0061467155
33,menfa,0.005872066
34,ordu,0.031433757
34,müşarü,0.022867052
34,canip,0.021730682
34,mum,0.013233333
34,mahal,0.011569125
34,havali,0.009529655
34,serasker,0.008710507
34,bender,0.008255858
34,memur,0.008227008
34,ikamet,0.008192383
34,ferman,0.0077679628
34,tayin,0.0077661704
34,hazret,0.007755623
34,han,0.007657943
34,ali,0.0076215696
34,serdar,0.0075878114
34,maiyyet,0.007481107
34,emr,0.0072463797
34,azimet,0.0070414725
34,hotin,0.006729598
35,kırım,0.060367793
35,giray,0.035838127
35,han,0.028440729
35,tatar,0.023365656
35,rusya,0.019349718
35,şahin,0.017983563
35,devlet,0.016926344
35,aliyye,0.011634736
35,asker,0.0108875185
35,ahali,0.007995488
35,gira,0.0072604464
35,hanlık,0.006630069
35,taman,0.005328948
35,tahrir,0.0051183193
35,kabail,0.0049417866
35,canip,0.004913694
35,irsal,0.004827228
35,intihab,0.004594982
35,mahal,0.004519427
35,mahzar,0.004426206
36,hazret,0.020669926
36,şadr,0.011470882
36,şehr,0.011432505
36,şah,0.0104780765
36,pad,0.010428913
36,aza,0.00807154
36,cenab,0.005757809
36,cihan,0.005262657
36,dar,0.0051153763
36,saray,0.0050351555
36,gah,0.0048315967
36,huzur,0.0046914984
36,enam,0.0045380592
36,ağa,0.004326169
36,islam,0.0043083266
36,mahal,0.0042961473
36,mülukane,0.004206881
36,ser,0.0041008857
36,şadaret,0.004035752
36,mehmed,0.003921494
37,hazret,0.04477012
37,sadr,0.02159686
37,humayun,0.016292209
37,humayu,0.014068331
37,efent,0.01365813
37,devlet,0.013186295
37,merkum,0.011899051
37,şahane,0.011541093
37,ali,0.011423203
37,şerif,0.008633952
37,şehriyari,0.008388782
37,ağa,0.008367727
37,devletlü,0.0081691295
37,şevketlü,0.008059287
37,aza,0.0072495607
37,sadaret,0.0071452092
37,vaki,0.006909293
37,huzur,0.006546697
37,mum,0.0064858524
37,cenab,0.006201157
38,karasu,0.03234829
38,ordu,0.017137863
38,canip,0.012620137
38,numan,0.012148069
38,din,0.010945707
38,müşarü,0.009138948
38,serasker,0.008371767
38,yaş,0.0077686193
38,düşmen,0.007658782
38,bazarcık,0.00744156
38,mezkur,0.0072473255
38,dağıstani,0.0068391236
38,kütahya,0.006536617
38,anadolu,0.0062913336
38,kafir,0.006188985
38,havali,0.006092447
38,zikr,0.0057470123
38,vali,0.005722563
38,asakir,0.0056787534
38,ali,0.005624851
39,nizam,0.015274514
39,sene,0.013521815
39,devlet,0.0109717315
39,zabt,0.010116165
39,hazine,0.00985776
39,kalem,0.009668459
39,faiz,0.008764042
39,hazin,0.008022175
39,mal,0.007530035
39,kise,0.0069505125
39,umur,0.0066919653
39,irad,0.006670211
39,cedid,0.006603427
39,mukataat,0.0061189914
39,hatt,0.0058603836
39,defter,0.0057111485
39,zahir,0.005527111
39,masarif,0.005466349
39,idare,0.005224187
39,îrad,0.0052147973
40,tarih,0.015116983
40,sene,0.0150571
40,vefat,0.0069126314
40,müddet,0.006485457
40,umur,0.006183208
40,zat,0.004479612
40,kalem,0.004413403
40,tahsil,0.0042935223
40,sultan,0.0042128707
40,alem,0.004089321
40,kesb,0.0038667105
40,sefer,0.0037661649
40,mahal,0.0037542542
40,kar,0.0036722452
40,yevmen,0.0035615773
40,saadet,0.0034986152
40,hazret,0.0034123664
40,ser,0.003375951
40,nam,0.00335019
40,mısr,0.0033098336
41,hamma,0.023694888
41,ref,0.013649118
41,asar,0.0101629365
